week_sort,value,type,Season,Age Group
Year 1 week 48,0.0,cases,2020/2021,0-5 months
Year 1 week 48,21.0,cases,2021/2022,0-5 months
Year 1 week 48,132.0,cases,2022/2023,0-5 months
Year 1 week 48,164.0,cases,2023/2024,0-5 months
Year 1 week 48,19.0,cases,2024/2025,0-5 months
Year 1 week 49,5.0,cases,2015/2016,0-5 months
Year 1 week 49,28.0,cases,2016/2017,0-5 months
Year 1 week 49,9.0,cases,2017/2018,0-5 months
Year 1 week 49,12.0,cases,2018/2019,0-5 months
Year 1 week 49,52.0,cases,2019/2020,0-5 months
Year 1 week 49,0.0,cases,2020/2021,0-5 months
Year 1 week 49,23.0,cases,2021/2022,0-5 months
Year 1 week 49,99.0,cases,2022/2023,0-5 months
Year 1 week 49,269.0,cases,2023/2024,0-5 months
Year 1 week 49,29.0,cases,2024/2025,0-5 months
Year 1 week 50,8.0,cases,2015/2016,0-5 months
Year 1 week 50,44.0,cases,2016/2017,0-5 months
Year 1 week 50,19.0,cases,2017/2018,0-5 months
Year 1 week 50,25.0,cases,2018/2019,0-5 months
Year 1 week 50,87.0,cases,2019/2020,0-5 months
Year 1 week 50,0.0,cases,2020/2021,0-5 months
Year 1 week 50,14.0,cases,2021/2022,0-5 months
Year 1 week 50,67.0,cases,2022/2023,0-5 months
Year 1 week 50,305.0,cases,2023/2024,0-5 months
Year 1 week 50,46.0,cases,2024/2025,0-5 months
Year 1 week 51,18.0,cases,2015/2016,0-5 months
Year 1 week 51,52.0,cases,2016/2017,0-5 months
Year 1 week 51,29.0,cases,2017/2018,0-5 months
Year 1 week 51,32.0,cases,2018/2019,0-5 months
Year 1 week 51,83.0,cases,2019/2020,0-5 months
Year 1 week 51,0.0,cases,2020/2021,0-5 months
Year 1 week 51,13.0,cases,2021/2022,0-5 months
Year 1 week 51,62.0,cases,2022/2023,0-5 months
Year 1 week 51,332.0,cases,2023/2024,0-5 months
Year 1 week 51,63.0,cases,2024/2025,0-5 months
Year 1 week 52,31.0,cases,2015/2016,0-5 months
Year 1 week 52,58.0,cases,2016/2017,0-5 months
Year 1 week 52,47.0,cases,2017/2018,0-5 months
Year 1 week 52,43.0,cases,2018/2019,0-5 months
Year 1 week 52,90.0,cases,2019/2020,0-5 months
Year 1 week 52,0.0,cases,2020/2021,0-5 months
Year 1 week 52,10.0,cases,2021/2022,0-5 months
Year 1 week 52,56.0,cases,2022/2023,0-5 months
Year 1 week 52,261.0,cases,2023/2024,0-5 months
Year 1 week 52,86.0,cases,2024/2025,0-5 months
Year 1 week 53,44.0,cases,2015/2016,0-5 months
Year 1 week 53,0.0,cases,2020/2021,0-5 months
Year 2 week 01,31.0,cases,2015/2016,0-5 months
Year 2 week 01,63.0,cases,2016/2017,0-5 months
Year 2 week 01,42.0,cases,2017/2018,0-5 months
Year 2 week 01,58.0,cases,2018/2019,0-5 months
Year 2 week 01,155.0,cases,2019/2020,0-5 months
Year 2 week 01,0.0,cases,2020/2021,0-5 months
Year 2 week 01,6.0,cases,2021/2022,0-5 months
Year 2 week 01,47.0,cases,2022/2023,0-5 months
Year 2 week 01,162.0,cases,2023/2024,0-5 months
Year 2 week 01,116.0,cases,2024/2025,0-5 months
Year 2 week 02,34.0,cases,2015/2016,0-5 months
Year 2 week 02,54.0,cases,2016/2017,0-5 months
Year 2 week 02,38.0,cases,2017/2018,0-5 months
Year 2 week 02,35.0,cases,2018/2019,0-5 months
Year 2 week 02,104.0,cases,2019/2020,0-5 months
Year 2 week 02,0.0,cases,2020/2021,0-5 months
Year 2 week 02,2.0,cases,2021/2022,0-5 months
Year 2 week 02,14.0,cases,2022/2023,0-5 months
Year 2 week 02,83.0,cases,2023/2024,0-5 months
Year 2 week 02,59.0,cases,2024/2025,0-5 months
Year 2 week 03,62.0,cases,2015/2016,0-5 months
Year 2 week 03,73.0,cases,2016/2017,0-5 months
Year 2 week 03,84.0,cases,2017/2018,0-5 months
Year 2 week 03,55.0,cases,2018/2019,0-5 months
Year 2 week 03,73.0,cases,2019/2020,0-5 months
Year 2 week 03,0.0,cases,2020/2021,0-5 months
Year 2 week 03,2.0,cases,2021/2022,0-5 months
Year 2 week 03,17.0,cases,2022/2023,0-5 months
Year 2 week 03,72.0,cases,2023/2024,0-5 months
Year 2 week 04,77.0,cases,2015/2016,0-5 months
Year 2 week 04,90.0,cases,2016/2017,0-5 months
Year 2 week 04,118.0,cases,2017/2018,0-5 months
Year 2 week 04,98.0,cases,2018/2019,0-5 months
Year 2 week 04,76.0,cases,2019/2020,0-5 months
Year 2 week 04,0.0,cases,2020/2021,0-5 months
Year 2 week 04,4.0,cases,2021/2022,0-5 months
Year 2 week 04,4.0,cases,2022/2023,0-5 months
Year 2 week 04,91.0,cases,2023/2024,0-5 months
Year 2 week 05,92.0,cases,2015/2016,0-5 months
Year 2 week 05,74.0,cases,2016/2017,0-5 months
Year 2 week 05,134.0,cases,2017/2018,0-5 months
Year 2 week 05,98.0,cases,2018/2019,0-5 months
Year 2 week 05,99.0,cases,2019/2020,0-5 months
Year 2 week 05,0.0,cases,2020/2021,0-5 months
Year 2 week 05,2.0,cases,2021/2022,0-5 months
Year 2 week 05,5.0,cases,2022/2023,0-5 months
Year 2 week 05,44.0,cases,2023/2024,0-5 months
Year 2 week 06,77.0,cases,2015/2016,0-5 months
Year 2 week 06,70.0,cases,2016/2017,0-5 months
Year 2 week 06,127.0,cases,2017/2018,0-5 months
Year 2 week 06,104.0,cases,2018/2019,0-5 months
Year 2 week 06,86.0,cases,2019/2020,0-5 months
Year 2 week 06,0.0,cases,2020/2021,0-5 months
Year 2 week 06,1.0,cases,2021/2022,0-5 months
Year 2 week 06,11.0,cases,2022/2023,0-5 months
Year 2 week 06,32.0,cases,2023/2024,0-5 months
Year 2 week 07,78.0,cases,2015/2016,0-5 months
Year 2 week 07,70.0,cases,2016/2017,0-5 months
Year 2 week 07,113.0,cases,2017/2018,0-5 months
Year 2 week 07,83.0,cases,2018/2019,0-5 months
Year 2 week 07,87.0,cases,2019/2020,0-5 months
Year 2 week 07,0.0,cases,2020/2021,0-5 months
Year 2 week 07,3.0,cases,2021/2022,0-5 months
Year 2 week 07,7.0,cases,2022/2023,0-5 months
Year 2 week 07,28.0,cases,2023/2024,0-5 months
Year 2 week 08,83.0,cases,2015/2016,0-5 months
Year 2 week 08,66.0,cases,2016/2017,0-5 months
Year 2 week 08,132.0,cases,2017/2018,0-5 months
Year 2 week 08,105.0,cases,2018/2019,0-5 months
Year 2 week 08,82.0,cases,2019/2020,0-5 months
Year 2 week 08,0.0,cases,2020/2021,0-5 months
Year 2 week 08,1.0,cases,2021/2022,0-5 months
Year 2 week 08,5.0,cases,2022/2023,0-5 months
Year 2 week 08,22.0,cases,2023/2024,0-5 months
Year 2 week 09,49.0,cases,2015/2016,0-5 months
Year 2 week 09,39.0,cases,2016/2017,0-5 months
Year 2 week 09,79.0,cases,2017/2018,0-5 months
Year 2 week 09,77.0,cases,2018/2019,0-5 months
Year 2 week 09,52.0,cases,2019/2020,0-5 months
Year 2 week 09,0.0,cases,2020/2021,0-5 months
Year 2 week 09,1.0,cases,2021/2022,0-5 months
Year 2 week 09,8.0,cases,2022/2023,0-5 months
Year 2 week 09,19.0,cases,2023/2024,0-5 months
Year 2 week 10,55.0,cases,2015/2016,0-5 months
Year 2 week 10,50.0,cases,2016/2017,0-5 months
Year 2 week 10,87.0,cases,2017/2018,0-5 months
Year 2 week 10,72.0,cases,2018/2019,0-5 months
Year 2 week 10,68.0,cases,2019/2020,0-5 months
Year 2 week 10,0.0,cases,2020/2021,0-5 months
Year 2 week 10,2.0,cases,2021/2022,0-5 months
Year 2 week 10,6.0,cases,2022/2023,0-5 months
Year 2 week 10,14.0,cases,2023/2024,0-5 months
Year 2 week 11,49.0,cases,2015/2016,0-5 months
Year 2 week 11,36.0,cases,2016/2017,0-5 months
Year 2 week 11,67.0,cases,2017/2018,0-5 months
Year 2 week 11,82.0,cases,2018/2019,0-5 months
Year 2 week 11,50.0,cases,2019/2020,0-5 months
Year 2 week 11,0.0,cases,2020/2021,0-5 months
Year 2 week 11,0.0,cases,2021/2022,0-5 months
Year 2 week 11,6.0,cases,2022/2023,0-5 months
Year 2 week 11,11.0,cases,2023/2024,0-5 months
Year 2 week 12,48.0,cases,2015/2016,0-5 months
Year 2 week 12,11.0,cases,2016/2017,0-5 months
Year 2 week 12,62.0,cases,2017/2018,0-5 months
Year 2 week 12,53.0,cases,2018/2019,0-5 months
Year 2 week 12,44.0,cases,2019/2020,0-5 months
Year 2 week 12,0.0,cases,2020/2021,0-5 months
Year 2 week 12,0.0,cases,2021/2022,0-5 months
Year 2 week 12,1.0,cases,2022/2023,0-5 months
Year 2 week 12,5.0,cases,2023/2024,0-5 months
Year 2 week 13,35.0,cases,2015/2016,0-5 months
Year 2 week 13,15.0,cases,2016/2017,0-5 months
Year 2 week 13,46.0,cases,2017/2018,0-5 months
Year 2 week 13,51.0,cases,2018/2019,0-5 months
Year 2 week 13,21.0,cases,2019/2020,0-5 months
Year 2 week 13,1.0,cases,2020/2021,0-5 months
Year 2 week 13,1.0,cases,2021/2022,0-5 months
Year 2 week 13,3.0,cases,2022/2023,0-5 months
Year 2 week 13,6.0,cases,2023/2024,0-5 months
Year 2 week 14,17.0,cases,2015/2016,0-5 months
Year 2 week 14,7.0,cases,2016/2017,0-5 months
Year 2 week 14,44.0,cases,2017/2018,0-5 months
Year 2 week 14,36.0,cases,2018/2019,0-5 months
Year 2 week 14,2.0,cases,2019/2020,0-5 months
Year 2 week 14,0.0,cases,2020/2021,0-5 months
Year 2 week 14,2.0,cases,2021/2022,0-5 months
Year 2 week 14,2.0,cases,2022/2023,0-5 months
Year 2 week 14,6.0,cases,2023/2024,0-5 months
Year 2 week 15,19.0,cases,2015/2016,0-5 months
Year 2 week 15,7.0,cases,2016/2017,0-5 months
Year 2 week 15,20.0,cases,2017/2018,0-5 months
Year 2 week 15,25.0,cases,2018/2019,0-5 months
Year 2 week 15,0.0,cases,2019/2020,0-5 months
Year 2 week 15,0.0,cases,2020/2021,0-5 months
Year 2 week 15,2.0,cases,2021/2022,0-5 months
Year 2 week 15,1.0,cases,2022/2023,0-5 months
Year 2 week 15,0.0,cases,2023/2024,0-5 months
Year 2 week 16,16.0,cases,2015/2016,0-5 months
Year 2 week 16,5.0,cases,2016/2017,0-5 months
Year 2 week 16,18.0,cases,2017/2018,0-5 months
Year 2 week 16,13.0,cases,2018/2019,0-5 months
Year 2 week 16,1.0,cases,2019/2020,0-5 months
Year 2 week 16,0.0,cases,2020/2021,0-5 months
Year 2 week 16,5.0,cases,2021/2022,0-5 months
Year 2 week 16,3.0,cases,2022/2023,0-5 months
Year 2 week 16,3.0,cases,2023/2024,0-5 months
Year 2 week 17,5.0,cases,2015/2016,0-5 months
Year 2 week 17,2.0,cases,2016/2017,0-5 months
Year 2 week 17,9.0,cases,2017/2018,0-5 months
Year 2 week 17,13.0,cases,2018/2019,0-5 months
Year 2 week 17,0.0,cases,2019/2020,0-5 months
Year 2 week 17,0.0,cases,2020/2021,0-5 months
