year,week,Age_group,Number_of_citizens,Number_of_confirmed_cases,Number_of_new_admissions,Confirmed_cases_per_100k_citizens,New_admissions_per_100k_citizens,country,country_code
2016,U20,45-64,6052868,8,4,137,78,Denmark,DNK
2016,U20,65-74,2575516,1,1,16,16,Denmark,DNK
2016,U20,75-84,1294996,0,0,0,0,Denmark,DNK
2016,U20,85+,477328,2,2,445,445,Denmark,DNK
2016,U20,Alle,22960792,13,7,55,32,Denmark,DNK
2016,U21,00-01,471552,0,0,0,0,Denmark,DNK
2016,U21,02-06,1236488,2,0,130,0,Denmark,DNK
2016,U21,07-14,2150400,0,0,0,0,Denmark,DNK
2016,U21,15-44,8701644,0,0,0,0,Denmark,DNK
2016,U21,45-64,6052868,0,0,0,0,Denmark,DNK
2016,U21,65-74,2575516,1,1,16,16,Denmark,DNK
2016,U21,75-84,1294996,0,0,0,0,Denmark,DNK
2016,U21,85+,477328,0,0,0,0,Denmark,DNK
2016,U21,Alle,22960792,3,1,9,2,Denmark,DNK
2016,U22,00-01,471552,0,0,0,0,Denmark,DNK
2016,U22,02-06,1236488,0,0,0,0,Denmark,DNK
2016,U22,07-14,2150400,0,0,0,0,Denmark,DNK
2016,U22,15-44,8701644,2,2,41,41,Denmark,DNK
2016,U22,45-64,6052868,0,0,0,0,Denmark,DNK
2016,U22,65-74,2575516,2,2,107,107,Denmark,DNK
2016,U22,75-84,1294996,0,0,0,0,Denmark,DNK
2016,U22,85+,477328,0,0,0,0,Denmark,DNK
2016,U22,Alle,22960792,4,4,28,28,Denmark,DNK
2016,U23,00-01,471856,0,0,0,0,Denmark,DNK
2016,U23,02-06,1234564,0,0,0,0,Denmark,DNK
2016,U23,07-14,2150796,0,0,0,0,Denmark,DNK
2016,U23,15-44,8702496,0,0,0,0,Denmark,DNK
2016,U23,45-64,6055604,0,0,0,0,Denmark,DNK
2016,U23,65-74,2577468,0,0,0,0,Denmark,DNK
2016,U23,75-84,1299716,0,0,0,0,Denmark,DNK
2016,U23,85+,478364,0,0,0,0,Denmark,DNK
2016,U23,Alle,22970864,0,0,0,0,Denmark,DNK
