country,country_code,year,epiweek,month,age,type
Denmark,DNK,2015,47,11,0-5 months,cases
Denmark,DNK,2016,47,11,0-5 months,cases
Denmark,DNK,2017,47,11,0-5 months,cases
Denmark,DNK,2018,47,11,0-5 months,cases
Denmark,DNK,2019,47,11,0-5 months,cases
Denmark,DNK,2020,47,11,0-5 months,cases
Denmark,DNK,2021,47,11,0-5 months,cases
Denmark,DNK,2022,47,11,0-5 months,cases
Denmark,DNK,2023,47,11,0-5 months,cases
Denmark,DNK,2024,47,11,0-5 months,cases
Denmark,DNK,2015,48,11,0-5 months,cases
Denmark,DNK,2016,48,11,0-5 months,cases
Denmark,DNK,2017,48,11,0-5 months,cases
Denmark,DNK,2018,48,11,0-5 months,cases
Denmark,DNK,2019,48,11,0-5 months,cases
Denmark,DNK,2020,48,11,0-5 months,cases
Denmark,DNK,2021,48,11,0-5 months,cases
Denmark,DNK,2022,48,11,0-5 months,cases
Denmark,DNK,2023,48,11,0-5 months,cases
Denmark,DNK,2024,48,11,0-5 months,cases
Denmark,DNK,2015,49,11,0-5 months,cases
Denmark,DNK,2016,49,12,0-5 months,cases
Denmark,DNK,2017,49,12,0-5 months,cases
Denmark,DNK,2018,49,12,0-5 months,cases
Denmark,DNK,2019,49,12,0-5 months,cases
Denmark,DNK,2020,49,11,0-5 months,cases
Denmark,DNK,2021,49,12,0-5 months,cases
Denmark,DNK,2022,49,12,0-5 months,cases
Denmark,DNK,2023,49,12,0-5 months,cases
Denmark,DNK,2024,49,12,0-5 months,cases
Denmark,DNK,2015,50,12,0-5 months,cases
Denmark,DNK,2016,50,12,0-5 months,cases
Denmark,DNK,2017,50,12,0-5 months,cases
Denmark,DNK,2018,50,12,0-5 months,cases
Denmark,DNK,2019,50,12,0-5 months,cases
Denmark,DNK,2020,50,12,0-5 months,cases
Denmark,DNK,2021,50,12,0-5 months,cases
Denmark,DNK,2022,50,12,0-5 months,cases
Denmark,DNK,2023,50,12,0-5 months,cases
Denmark,DNK,2024,50,12,0-5 months,cases
Denmark,DNK,2015,51,12,0-5 months,cases
Denmark,DNK,2016,51,12,0-5 months,cases
Denmark,DNK,2017,51,12,0-5 months,cases
Denmark,DNK,2018,51,12,0-5 months,cases
Denmark,DNK,2019,51,12,0-5 months,cases
Denmark,DNK,2020,51,12,0-5 months,cases
