week,floor,ceiling,extract_date,weekly_cases,total_cases,Weekly_0_14,Weekly_15_24,Weekly_25_44,Weekly_45_64,Weekly_65_,Total_0_14,Total_15_24,Total_25_44,Total_45_64,Total_65_,F3_Week_Rolling_Rate_100k_0_14,F3_Week_Rolling_Rate_100k_15_24,F3_Week_Rolling_Rate_100k_25_44,F3_Week_Rolling_Rate_100k_45_64,F3_Week_Rolling_Rate_100k_65_,F3_Week_Rolling_Rate_100k_Total,disease,ObjectId
2024 W12,2024/03/17 00:00:00+00,2024/03/23 00:00:00+00,2025/01/12 00:00:00+00,19,31955,8,0,2,2,7,22274,517,1512,2212,5425,0.82,0,0.09,0.15,1.12,0.39,RSV,994
2024 W13,2024/03/24 00:00:00+00,2024/03/30 00:00:00+00,2025/01/12 00:00:00+00,138,1735132,14,4,20,25,75,274024,262869,613891,408626,175589,1.45,0.78,1.41,2.09,10.99,2.95,COVID-19,995
2024 W13,2024/03/24 00:00:00+00,2024/03/30 00:00:00+00,2025/01/12 00:00:00+00,347,65509,65,45,87,49,101,17835,5606,12048,10477,19522,7.38,5.89,4.76,3.32,12.11,6.16,Influenza,996
2024 W13,2024/03/24 00:00:00+00,2024/03/30 00:00:00+00,2025/01/12 00:00:00+00,16,31971,4,0,2,4,6,22278,517,1514,2216,5431,0.66,0,0.12,0.23,0.69,0.32,RSV,997
2024 W14,2024/03/31 00:00:00+00,2024/04/06 00:00:00+00,2025/01/12 00:00:00+00,149,1735281,13,6,22,29,79,274037,262875,613913,408655,175668,1.25,0.88,1.36,2.24,11.76,3.07,COVID-19,998
2024 W14,2024/03/31 00:00:00+00,2024/04/06 00:00:00+00,2025/01/12 00:00:00+00,226,65735,48,30,60,24,64,17883,5636,12108,10501,19586,4.77,5.38,4.94,2.73,8.89,5,Influenza,999
2024 W14,2024/03/31 00:00:00+00,2024/04/06 00:00:00+00,2025/01/12 00:00:00+00,15,31986,8,0,1,3,3,22286,517,1515,2219,5434,0.72,0.1,0.12,0.21,0.56,0.32,RSV,1000
2024 W15,2024/04/07 00:00:00+00,2024/04/13 00:00:00+00,2025/01/12 00:00:00+00,187,1735468,11,7,16,33,120,274048,262882,613929,408688,175788,1.38,0.72,1.24,2.5,12.58,3.23,COVID-19,1001
2024 W15,2024/04/07 00:00:00+00,2024/04/13 00:00:00+00,2025/01/12 00:00:00+00,200,65935,32,29,64,33,42,17915,5665,12172,10534,19628,3.89,3.88,3.7,2.24,6.4,3.8,Influenza,1002
2024 W15,2024/04/07 00:00:00+00,2024/04/13 00:00:00+00,2025/01/12 00:00:00+00,19,32005,10,2,2,1,4,22296,519,1517,2220,5438,0.82,0.1,0.09,0.13,0.43,0.3,RSV,1003
2024 W16,2024/04/14 00:00:00+00,2024/04/20 00:00:00+00,2025/01/12 00:00:00+00,163,1735631,18,1,15,35,94,274066,262883,613944,408723,175882,1.35,0.78,1.2,2.4,14.47,3.48,COVID-19,1004
2024 W16,2024/04/14 00:00:00+00,2024/04/20 00:00:00+00,2025/01/12 00:00:00+00,161,66096,38,16,34,30,43,17953,5681,12206,10564,19671,3.16,3.21,3.09,2.04,4.77,3.11,Influenza,1005
2024 W16,2024/04/14 00:00:00+00,2024/04/20 00:00:00+00,2025/01/12 00:00:00+00,12,32017,7,0,1,1,3,22303,519,1518,2221,5441,0.66,0.1,0.07,0.08,0.39,0.24,RSV,1006
2024 W17,2024/04/21 00:00:00+00,2024/04/27 00:00:00+00,2025/01/12 00:00:00+00,187,1735818,12,7,20,25,123,274078,262890,613964,408748,176005,1.42,0.72,1.87,2.27,15.54,3.8,COVID-19,1007
2024 W17,2024/04/21 00:00:00+00,2024/04/27 00:00:00+00,2025/01/12 00:00:00+00,119,66215,26,17,34,16,26,17979,5698,12240,10580,19697,3.46,3,2.37,1.75,4.08,2.76,Influenza,1008
2024 W17,2024/04/21 00:00:00+00,2024/04/27 00:00:00+00,2025/01/12 00:00:00+00,6,32023,3,0,0,1,2,22306,519,1518,2222,5443,0.4,0,0.05,0.1,0.26,0.16,RSV,1009
2024 W18,2024/04/28 00:00:00+00,2024/05/04 00:00:00+00,2025/01/12 00:00:00+00,237,1736055,13,6,45,28,145,274091,262896,614009,408776,176150,1.78,1.29,2.37,2.35,18.21,4.5,COVID-19,1010
2024 W18,2024/04/28 00:00:00+00,2024/05/04 00:00:00+00,2025/01/12 00:00:00+00,147,66362,41,25,33,22,26,18020,5723,12273,10602,19723,2.83,2.84,2.34,1.78,4.04,2.62,Influenza,1011
2024 W18,2024/04/28 00:00:00+00,2024/05/04 00:00:00+00,2025/01/12 00:00:00+00,6,32029,2,0,1,2,1,22308,519,1519,2224,5444,0.2,0.05,0.37,0.36,0.17,0.27,RSV,1012
2024 W19,2024/05/05 00:00:00+00,2024/05/11 00:00:00+00,2025/01/12 00:00:00+00,271,1736326,29,12,36,38,156,274120,262908,614045,408814,176306,2.27,1.5,2.44,2.76,19.58,4.95,COVID-19,1013
2024 W19,2024/05/05 00:00:00+00,2024/05/11 00:00:00+00,2025/01/12 00:00:00+00,138,66500,19,13,33,31,42,18039,5736,12306,10633,19765,2.6,2.84,2.18,1.75,3.91,2.5,Influenza,1014
