year,week,weekly_cases,Weekly_0_14,Weekly_15_24,Weekly_25_44,Weekly_45_64,Weekly_65_,F3_Week_Rolling_Rate_100k_0_14,F3_Week_Rolling_Rate_100k_15_24,F3_Week_Rolling_Rate_100k_25_44,F3_Week_Rolling_Rate_100k_45_64,F3_Week_Rolling_Rate_100k_65_,F3_Week_Rolling_Rate_100k_Total
2021,W52,54,29,5,5,7,8,6.36,0.52,0.59,0.82,1.93,1.97
2021,W35,23,22,0,0,0,1,1.91,0,0,0,0.26,0.41
2022,W34,27,20,1,0,1,5,2.54,0.16,0.05,0.15,0.64,0.67
2023,W31,7,6,0,1,0,0,0.46,0,0.07,0.08,0.13,0.15
2022,W01,45,19,3,3,8,12,2.86,0.67,0.37,0.64,1.8,1.18
2021,W36,32,27,0,0,0,5,2.47,0,0,0,0.26,0.52
2022,W35,50,38,1,1,2,8,2.83,0.16,0.07,0.1,0.86,0.75
2023,W32,11,6,0,0,2,3,0.56,0,0.02,0.05,0.17,0.16
2022,W02,84,39,5,8,10,22,2.83,0.47,0.49,0.57,2.1,1.21
2021,W37,26,26,0,0,0,0,4.15,0.05,0,0.05,0.21,0.87
2021,W38,76,73,1,0,2,0,6.52,0.05,0,0.05,0.04,1.31
2022,W36,39,28,1,2,1,7,3.79,0.16,0.14,0.23,0.9,1
2022,W03,58,28,1,10,4,15,3.62,0.41,0.68,0.41,2.36,1.41
2023,W33,6,5,0,0,0,1,0.63,0,0,0.05,0.21,0.17
2023,W34,9,8,0,0,0,1,0.69,0,0,0,0.17,0.16
2024,W37,3,2,0,0,1,0,0.3,0,0,0.03,0.21,0.1
2024,W38,5,1,0,0,0,4,0.1,0,0,0.03,0.26,0.06
2024,W39,2,0,0,0,0,2,0.23,0,0.02,0.1,0.6,0.17
2024,W40,19,6,0,1,4,8,0.56,0,0.05,0.1,0.47,0.22
2024,W41,13,11,0,1,0,1,0.92,0,0.07,0.13,0.47,0.3
2024,W42,15,11,0,1,1,2,1.28,0,0.12,0.08,0.43,0.37
2024,W43,29,17,0,3,2,7,1.94,0.05,0.14,0.08,0.64,0.54
2024,W44,40,31,1,2,0,6,2.96,0.05,0.14,0.08,0.73,0.76
2024,W45,48,42,0,1,1,4,5.47,0.1,0.19,0.26,0.99,1.35
2024,W46,121,93,1,5,9,13,8.59,0.26,0.19,0.46,1.46,2.11
2024,W47,157,126,4,2,8,17,15.87,0.36,0.66,0.8,2.62,3.94
2024,W48,331,263,2,21,14,31,19.72,0.62,0.73,0.98,4.85,5.13
2024,W49,305,210,6,8,16,65,32.9,0.47,1.15,1.42,7.99,8.4
2024,W50,662,526,1,20,25,90,41.56,0.98,1.64,2.84,14.64,11.67
2024,W51,835,526,12,42,69,186,50.25,0.93,1.95,3.14,16.14,13.76
2024,W52,628,474,5,21,28,100,48.47,1.24,2.25,4.12,21.68,14.61
2025,W01,794,472,7,33,63,219,39.78,1.55,2.02,4.07,22.11,12.93
2025,W02,575,262,18,32,67,196,NA,NA,NA,NA,NA,NA
2024,W19,29,1,1,15,11,1,0.13,0.05,0.37,0.36,0.13,0.25
2023,W35,10,8,0,0,0,2,1.09,0,0.02,0.05,0.26,0.27
2024,W20,3,1,0,0,1,1,0.07,0.05,0.37,0.31,0.09,0.21
2023,W36,23,17,0,1,2,3,1.38,0,0.02,0.08,0.26,0.34
2024,W21,1,0,0,1,0,0,0.1,0,0.05,0.03,0.17,0.06
2023,W37,19,17,0,0,1,1,1.68,0,0.05,0.08,0.34,0.41
2024,W22,6,2,0,1,0,3,0.13,0,0.05,0.03,0.13,0.06
2023,W38,22,17,0,1,0,4,1.84,0,0.07,0.05,0.34,0.45
2024,W23,3,2,0,0,1,0,0.13,0,0.05,0.03,0.17,0.07
2023,W39,28,22,0,2,1,3,2.31,0.1,0.19,0.03,0.52,0.6
2024,W24,2,0,0,1,0,1,0.07,0,0.05,0.03,0.13,0.05
2023,W40,43,31,2,5,0,5,3.59,0.1,0.21,0.15,0.52,0.89
2024,W25,3,0,0,1,0,2,0,0,0.05,0.03,0.17,0.05
2023,W41,67,56,0,2,5,4,6.32,0.1,0.26,0.26,0.6,1.48
2023,W42,119,105,0,4,5,5,10.7,0.05,0.26,0.41,1.29,2.48
2023,W43,197,164,1,5,6,21,22.23,0.1,0.26,0.52,1.72,4.84
2023,W44,432,406,1,2,9,14,30.85,0.31,0.49,0.88,3.61,7
2023,W45,453,367,4,14,19,49,42.08,0.62,0.91,1.21,5.28,9.7
2023,W46,614,505,7,23,19,60,48.97,0.83,1.15,1.8,7.3,11.6
2023,W47,725,615,5,12,32,61,62.7,1.19,1.71,2.58,9.53,15.03
2023,W48,983,784,11,38,49,101,66.15,1.24,1.97,3.45,11.94,16.37
